bam depth
00N0047.bam 1.61083
00N0043.bam 1.39413
20N002019.bam 2.31185
20N002017.bam 2.68936
00N0066.bam 2.17161
20N002013.bam 2.20433
20N002012.bam 3.26616
18N00493.bam 1.03182
18N00492.bam 1.96697
18N00496.bam 0.985413
18N00495.bam 1.79653
225090308.bam 1.65076
225090307.bam 1.7479
03N6492.bam 1.60741
18N00490.bam 1.23014
283021304.bam 0.948208
225090263.bam 1.12121
04N5242.bam 1.5499
225090303.bam 1.27298
283021303.bam 0.662046
20N002016.bam 3.55949
225062945.bam 0.990201
225090302.bam 1.15085
nzpcuba277.bam 0.676247
SERU9014.bam 1.42757
SERU9032.bam 1.25543
00N0103.bam 1.58353
225090306.bam 1.24637
nzpcuba278.bam 0.135225
SERU9027.bam 0.81281
SERU9013.bam 1.09999
SERU9011.bam 0.974979
283021348.bam 0.852111
225062946.bam 1.79491
225090305.bam 1.60094
SERU9010.bam 1.60641
04N8970.bam 1.95518
SERU9036.bam 1.51052
20N002003.bam 2.38136
283021330.bam 1.32979
283021336.bam 1.55741
19N01560.bam 1.08511
225062948.bam 0.998108
SERU9033.bam 1.68222
225090309.bam 1.31372
225090304.bam 1.32132
283021325.bam 1.06119
283021323.bam 0.967108
225062930.bam 2.11373
08N10908.bam 2.40546
283021342.bam 0.945403
225062949.bam 2.24935
04N9760.bam 1.75038
nzpcuba280.bam 0.0178534
20N002001.bam 3.11656
20N002002.bam 2.63738
225062947.bam 1.99625
225090310.bam 3.03035
SERU9030.bam 1.79358
20N002009.bam 2.20262
SERU9009.bam 1.44557
283021358.bam 0.945047
283021337.bam 1.03888
08N10189.bam 1.22575
SERU2010.bam 1.93493
225024080.bam 0.825573
SERU2021.bam 1.95053
SERU2017.bam 0.767827
SERU2019.bam 1.50698
215063400.bam 1.16286
215063396.bam 1.05934
SERU2014.bam 1.721
nzpjam12077.bam 0.33437
nzpjam12071.bam 0.26379
SERU9024.bam 0.886455
SERU2015.bam 1.85446
SERU2001.bam 1.44383
nzpjam7230.bam 0.897192
nzpjam12064.bam 0.38145
20N002007.bam 2.26288
SERU9028.bam 2.59984
08N10181.bam 1.45916
225090311.bam 3.93362
SERU2006.bam 0.857083
215063397.bam 1.52228
06N0179.bam 1.34317
SERU2018.bam 1.59308
SERU2003.bam 1.64725
20N002008.bam 2.29924
20N002004.bam 2.30247
225090254.bam 1.66773
SERU2016.bam 1.97458
SERU2022.bam 2.40003
